,Date,Indian rupee (INR),GDP,Inflation
148,1991-05-31,242.00670710870497,1.0568314333698794,13.7518189426722
149,1991-06-28,250.31381700710708,1.0568314333698794,13.7518189426722
150,1991-07-31,300.5442144011373,1.0568314333698794,13.7518189426722
151,1991-08-30,287.8668535216616,1.0568314333698794,13.7518189426722
152,1991-09-30,293.2312055866372,1.0568314333698794,13.7518189426722
153,1991-10-31,297.1175878318529,1.0568314333698794,13.7518189426722
154,1991-11-29,304.3624370636276,1.0568314333698794,13.7518189426722
155,1991-12-31,291.9464617537548,1.0568314333698794,13.7518189426722
156,1992-01-31,295.2358046351912,5.482396021670468,8.96515236042887
157,1992-02-28,296.11930715089704,5.482396021670468,8.96515236042887
158,1992-03-31,318.72128198864255,5.482396021670468,8.96515236042887
159,1992-04-30,309.1512907650247,5.482396021670468,8.96515236042887
160,1992-05-29,310.87264173630905,5.482396021670468,8.96515236042887
161,1992-06-30,316.3147986079807,5.482396021670468,8.96515236042887
162,1992-07-31,327.1177709625054,5.482396021670468,8.96515236042887
163,1992-08-31,311.8609556858286,5.482396021670468,8.96515236042887
164,1992-09-30,318.41584989624056,5.482396021670468,8.96515236042887
165,1992-10-30,309.69270933724044,5.482396021670468,8.96515236042887
166,1992-11-30,303.0391123348628,5.482396021670468,8.96515236042887
167,1992-12-31,309.9106913989757,5.482396021670468,8.96515236042887
168,1993-01-29,310.0100372058727,4.750776219652337,9.86178285277913
169,1993-02-26,317.828134248966,4.750776219652337,9.86178285277913
170,1993-03-31,338.8653322512164,4.750776219652337,9.86178285277913
171,1993-04-30,357.3394727370157,4.750776219652337,9.86178285277913
172,1993-05-31,378.7438322650798,4.750776219652337,9.86178285277913
173,1993-06-30,381.6267897098887,4.750776219652337,9.86178285277913
174,1993-07-30,404.6319349096047,4.750776219652337,9.86178285277913
175,1993-08-31,376.2367170476582,4.750776219652337,9.86178285277913
176,1993-09-30,358.7692164369226,4.750776219652337,9.86178285277913
177,1993-10-29,373.0345026894228,4.750776219652337,9.86178285277913
178,1993-11-30,373.92732892163366,4.750776219652337,9.86178285277913
179,1993-12-31,393.93152343663394,4.750776219652337,9.86178285277913
180,1994-01-31,381.1053046005456,6.658924067340251,9.98004477517911
181,1994-02-28,384.758272425673,6.658924067340251,9.98004477517911
182,1994-03-31,392.5477553043202,6.658924067340251,9.98004477517911
183,1994-04-29,379.64566070632975,6.658924067340251,9.98004477517911
184,1994-05-31,390.9341093340408,6.658924067340251,9.98004477517911
185,1994-06-30,388.5642778044672,6.658924067340251,9.98004477517911
186,1994-07-29,387.3033255240456,6.658924067340251,9.98004477517911
187,1994-08-31,389.0401088536829,6.658924067340251,9.98004477517911
188,1994-09-30,398.12816038623697,6.658924067340251,9.98004477517911
